,Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,salary,benefits_401k,stocks,date_posted,Unnamed: 0,lower_limit_salary,upper_limit_salary
723,Lead Machine Learning Data Science Engineer,The MITRE Corporation,McLean,MITRE Jobs,Full-time,0,0,8,"[0, 0]",0,0,30,69.0,0,0.0
724,Lead Generative AI Machine Learning Engineer (Remote),S&P Global,Albany,The Media Leader Jobs,Full-time,1,0,8,"[108000, 210000]",0,0,30,70.0,108000,210000.0
725,"Engineering Manager, Machine Learning",Procore,Austin,Procore Technologies,Full-time,0,0,5,"[183600, 252450]",0,1,30,71.0,183600,252450.0
726,Principal Machine Learning Engineer (Virtual/Remote),US Foods,Streator,USNLX Virtual Jobs - National Labor Exchange,Contractor,1,0,5,"[132200, 210400]",0,1,9,72.0,132200,210400.0
727,Freelance AI Engineer,Twine,Long Beach,Twine,Full-time,1,1,0,"[110000, 170000]",0,1,21,73.0,110000,170000.0
728,Senior Software Engineer - Machine Learning,FIS Global,Seattle,FIS Global,Full-time,1,0,5,"[115590, 194180]",0,1,2,74.0,115590,194180.0
729,Principal Machine Learning Software Engineer,"Advanced Micro Devices, Inc",Bellevue,AMD Careers,Contractor,0,0,0,"[0, 0]",0,1,30,75.0,0,0.0
730,AI/ML Engineer - (Remote),SynergisticIT,New York,LinkedIn,Full-time,0,0,0,"[192000, 192000]",0,1,30,76.0,192000,192000.0
731,Machine Learning Engineer - Supply Chain,Nike,Beaverton,Nike Careers,Full-time,0,0,3,"[82900, 185700]",0,0,13,77.0,82900,185700.0
732,"Manager, Machine Learning Engineering, Causal Ad Measurement",Snap Inc.,United States • via Wd1.Myworkdaysite.com,Wd1.Myworkdaysite.com,Full-time,1,0,0,"[0, 0]",0,0,27,78.0,0,0.0
733,A/AI Machine Learning Software/Firmware Engineer,Lockheed Martin,Stratford,Lockheed Martin,Full-time,1,0,8,"[0, 0]",0,1,25,79.0,0,0.0
734,Lead Software Engineer - Machine Learning Engineer,Chase- Candidate Experience page,Wilmington,JPMorgan Chase Login,Full-time,0,0,5,"[0, 0]",0,1,15,80.0,0,0.0
735,Principal Machine Learning Engineer,Workday,Boulder,JobzMall,Full-time,0,0,0,"[115000, 175000]",0,1,30,81.0,115000,175000.0
736,Senior Machine Learning Engineer - Cloud AI Platform,Visa,Austin,Smart Recruiters Jobs,Full-time,1,1,0,"[0, 0]",0,1,2,82.0,0,0.0
737,Principal Machine Learning Engineer (Virtual/Remote),US Foods,Streator,US Foods Jobs,Full-time,1,1,5,"[132200, 263000]",0,1,9,83.0,132200,263000.0
