,Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,salary,benefits_401k,stocks,date_posted,Unnamed: 0,lower_limit_salary,upper_limit_salary
1007,Senior Business Analyst (SAP Warehouse Management) - 177373,Raise,Sunnyvale,KHON2 Jobs,Full-time,0,0,0,[192000],0,1,6,,192000,
1008,Expert Business Analyst,PG&E Corporation,Oakland,Glassdoor,Contractor,0,0,6,"[114000, 182000]",1,1,18,,114000,182000.0
1009,technical business analyst,gordon and betty moore foundation,Palo Alto,Jobtrees,Full-time,1,1,7,"[150000, 180000]",1,1,30,,150000,180000.0
1010,Business Systems Analyst,Principal Software,Foster City,Indeed,Full-time,0,0,0,"[0, 0]",1,1,30,,0,0.0
1011,Business Analyst,smartdept. inc.,Palo Alto,Ladders,Contractor,0,0,5,"[480, 261120]",0,0,30,,480,261120.0
1012,Timekeeping Business Systems Analyst,"University of California, San Francisco",San Francisco,LinkedIn,Full-time,0,0,5,"[88000, 145000]",0,0,30,,88000,145000.0
1013,Business Analyst,Collabera,Foster City,ZipRecruiter,Full-time,0,0,5,"[0, 0]",0,0,3,,0,0.0
1014,Senior IS Business Analyst-Power BI/Information Governance DPH PBT 1053,City and County of San Francisco,San Francisco,SF Careers,Contractor,0,0,0,"[0, 0]",0,0,30,,0,0.0
1015,Analyst,VirtualVocations,Fremont,Talent.com,Full-time,0,0,0,"[0, 0]",0,0,2,,0,0.0
1016,Business Analyst,BayOne,Santa Clara,Glassdoor,Full-time,0,0,5,"[155520, 155520]",0,0,30,,155520,155520.0
1017,Business Reporting Analyst,Apple,Santa Clara,JobzMall,Full-time,0,0,0,"[74000, 95000]",0,0,30,,74000,95000.0
1018,BUSINESS ANALYST,AHMC HealthCare,Colma,Adzuna,Full-time,0,0,0,"[0, 0]",0,1,9,,0,0.0
1019,Business Analyst and Building Coordinator (4628U) - Dept of Astronomy,"University of California, Berkeley",San Francisco,Inside Higher Ed Careers,Contractor,1,0,0,"[0, 0]",1,1,25,,0,0.0
1020,"Business Analyst, FP&A Systems Strategy and Enablement",Netflix,Los Gatos,Indeed,Full-time,1,1,5,"[50000, 240000]",1,1,30,,50000,240000.0
1021,Salesforce Business Analyst,Cosmic-I LLC DBA Northern Base,Pleasanton,Dice,Full-time,0,0,0,"[115200, 124800]",1,1,12,,115200,124800.0
1022,Senior Data Analyst,Klarity,Redwood City,DataAnalyst.com,Contractor,0,0,5,"[100000, 140000]",1,0,2,,100000,140000.0
1023,Business Analyst - Entry Level,CGI Group Inc,Lafayette,Jora,Full-time,1,0,0,"[44500, 73400]",1,0,30,,44500,73400.0
1024,Technical Business Analyst,Upwork,San Francisco,Jooble,Full-time,0,0,0,"[0, 0]",1,0,4,,0,0.0
1025,Business Systems Analyst (SAP ERP),Synergy Global Technologies Inc.,Daly City,ZipRecruiter,Full-time,0,0,0,"[0, 0]",0,0,5,,0,0.0
1026,Business Analyst- Robotic Process Automation,Maximus,San Francisco,Monster,Full-time,1,1,5,"[0, 0]",1,1,30,,0,0.0
1027,Sr. Technical Business Analyst w / SQL And Python,Federal Reserve Bank of San Francisco,San Francisco,Glassdoor,Full-time,1,1,7,"[124000, 199000]",1,1,30,,124000,199000.0
1028,Logistics Business Analyst,Abbott,Alameda,Ladders,Contractor,1,0,6,"[6000, 167000]",1,1,30,,6000,167000.0
1029,Senior CRM Business Analyst,Integration Appliance,Palo Alto,Adzuna,Full-time,1,0,5,"[0, 0]",0,1,30,,0,0.0
1030,IT- Business Analyst - Senior,"Sunrise Systems, Inc.",Oakland,Dice.com,Full-time,0,0,5,"[111360, 124800]",0,1,30,,111360,124800.0
1031,Finance Systems Analyst,RingCentral,Belmont,The Muse,Full-time,0,0,7,"[0, 0]",0,0,30,,0,0.0
1032,Business Analyst,BayOne,Santa Clara,SimplyHired,Full-time,0,0,5,"[155520, 155520]",0,0,30,,155520,155520.0
1033,Senior IT Business Applications Analyst,Cargo Therapeutics,San Carlos,Jobvite,Full-time,0,0,0,"[112000, 154000]",0,0,30,,112000,154000.0
1034,"Business Analyst, Student Financial Operations",Stanford University,Stanford,JobzMall,Full-time,0,0,0,"[50000, 99000]",0,0,30,,50000,99000.0
1035,Business Analyst,ACME Tire,Palo Alto,ZipRecruiter,Full-time,0,0,0,"[75000, 95000]",0,0,30,,75000,95000.0
1036,Senior Business Analyst,Goalsr,San Jose,Indeed,Full-time,0,0,0,"[0, 0]",0,0,30,,0,0.0
1037,IS Business Analyst-Principal- The Department of Technology- 1054-125692,City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",0,0,30,,0,0.0
1038,Sr. Business Analyst with Enterprise projects experience,Tata Consultancy Service Limited,San Jose,Jooble,Full-time,0,0,0,"[0, 0]",0,1,7,,0,0.0
1039,Business Intelligence Analyst - USDS,TikTok,Mountain View,LinkedIn,Contractor,1,1,0,"[400, 339840]",0,1,2,,400,339840.0
1040,Business Analyst,smartdept. inc.,Los Altos,Ladders,Full-time,0,0,5,"[640, 272640]",0,1,30,,640,272640.0
1041,Business Analyst,JPS TECH SOLUTIONS,San Bruno,OPTnation,Full-time,0,0,5,"[111360, 130560]",1,1,30,,111360,130560.0
1042,Senior Business Analyst,Novoloop,Menlo Park,Indeed,Contractor,1,1,2,"[100000, 140000]",1,1,19,,100000,140000.0
1043,"Specialist, Business Analysis",The Bank of New York Mellon,San Francisco,JobzMall,Contractor,0,0,5,"[723, 205440]",1,1,30,,723,205440.0
1044,Salesforce Business Analyst (Service Focused),Candidate Portal,Sunnyvale,ZipRecruiter,Full-time,0,0,8,"[0, 0]",0,0,30,,0,0.0
1045,Scientific Business Analyst – San Francisco,Dale Workforce Services,South San Francisco,Dale WorkForce Solutions,Full-time,0,0,0,"[0, 0]",0,0,10,,0,0.0
1046,"IS Business Analyst-Principal (1054) – IT, Office of the City Administrator (141237)",City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",0,0,30,,0,0.0
1047,Senior Clinical Business Analyst - 6 month contract,Sci.bio Recruiting,Hayward,LinkedIn,Contractor,0,0,8,"[0, 0]",0,0,2,,0,0.0
1048,Salesforce Business Analyst / Computer System Analyst,TechTu,Pleasanton,Indeed,Full-time,0,0,5,"[0, 0]",0,0,30,,0,0.0
1049,Lab Systems R&D Business Analyst w/SDMS,Planet Technology,San Quentin,Planet Technology,Full-time,1,1,2,"[0, 0]",0,0,3,,0,0.0
1050,Purchasing Business Analyst,Alameda Health System,Oakland,Ladders,Full-time,0,0,0,"[94080, 186240]",0,0,30,,94080,186240.0
1051,Analyst,DynPro,Santa Clara,Talent.com,Full-time,0,0,3,"[0, 0]",0,0,3,,0,0.0
1052,Consulting Group Analyst,Morgan Stanley,Menlo Park,JobzMall,Full-time,0,0,0,"[105000, 135000]",1,0,30,,105000,135000.0
1053,Principal Supply Chain and Manufacturing Business Analyst,Shockwave Medical Inc,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time and Contractor,1,1,1,"[136000, 170000]",1,0,3,,136000,170000.0
1054,Senior Business Systems Analyst - ERP,Santa Clara Valley Transportation Authority,San Jose,Indeed,Full-time,0,0,0,"[123000, 160000]",1,0,30,,123000,160000.0
1055,Business Analyst 4,NextDeavor Inc.,San Francisco,Jooble,Full-time,1,1,0,"[124800, 134400]",1,0,6,,124800,134400.0
1056,Business / Data Analyst,InterSources Inc,San Jose,LinkedIn,Full-time,0,0,3,"[0, 0]",1,0,30,,0,0.0
1057,Business Systems Analyst (Law & Justice),Solano County,Fairfield,GovernmentJobs.com,Full-time,0,0,0,"[86400, 19200]",0,0,30,,86400,19200.0
1058,1053 IS Business Analyst Sr. - Department of Homelessness and Supportive Housing,City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",0,0,30,,0,0.0
1059,Senior Mobile Workforce Business Analyst,California Water Service,San Jose,ZipRecruiter,Contractor,0,0,1,"[96500, 179200]",0,0,17,,96500,179200.0
1060,Senior Technical Business Analyst ( Salesforce CRM),BayOne,Pleasanton,Glassdoor,Full-time,0,0,9,"[0, 0]",0,0,9,,0,0.0
1061,Business System Analyst,Diverse Lynx,Sunnyvale,LinkedIn,Full-time,0,0,0,"[0, 0]",0,0,17,,0,0.0
1062,Content Management (Project Manager or Business analyst),Centraprise,Sunnyvale,Ladders,Full-time,0,0,7,"[26880, 289920]",0,0,11,,26880,289920.0
1063,Business Analyst with CCAR (Comprehensive Capital Analysis and Review),INTELLISWIFT INC,San Ramon,ZipRecruiter,Full-time,0,0,0,"[0, 0]",0,0,1,,0,0.0
1064,Delivery of Care Analyst - Principal IS Business Analyst - DPH (1054),City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",0,0,30,,0,0.0
1065,Business Analyst Sr,InterSources Inc,Santa Clara,LinkedIn,Full-time,0,0,0,"[0, 0]",1,0,30,,0,0.0
1066,Business Analyst (Tractor Supply/Petsense),Nestle,Brentwood,LocalJobs.com,Full-time,1,0,0,"[65000, 87000]",1,1,12,,65000,87000.0
1067,Senior IT Business Analyst - CC&B,PG&E Corporation,Oakland,Ladders,Full-time,0,0,4,"[105000, 169000]",1,1,17,,105000,169000.0
1068,Staff Business Systems Analyst,"Advanced Micro Devices, Inc",Santa Clara,ZipRecruiter,Full-time,0,0,0,"[0, 0]",0,1,16,,0,0.0
1069,IS Business Analyst-Senior (1053),City and County of San Francisco,San Francisco,SF Careers,Full-time and Internship,0,0,0,"[0, 0]",0,1,30,,0,0.0
1070,Sr. Business Analyst,InterSources Inc,Santa Clara,LinkedIn,Contractor,0,0,0,"[0, 0]",0,0,30,,0,0.0
1071,Shipping Business Analyst II,Midcom,San Ramon,ZipRecruiter,Full-time,0,0,0,"[0, 0]",0,1,30,,0,0.0
1072,Intern Consumer Components Business Analyst,Micron,San Jose,Indeed,Full-time,1,1,0,"[30720, 88320]",0,1,18,,30720,88320.0
1073,Business Analyst for Data Analytics and Reporting Platform Design (Beverages Industry Experience),NetStrive Consulting,San Jose,Dice,Full-time,0,0,5,"[0, 0]",0,1,25,,0,0.0
1074,Business Analyst II (Data Analytics),SPECTRAFORCE,South San Francisco,LinkedIn,Contractor,1,1,4,"[0, 0]",0,0,12,,0,0.0
1075,Winter Business Analyst,UNAVAILABLE,San Francisco,Job Listings At Arthur D. Little - ICIMS,Full-time,0,0,2,"[0, 0]",0,0,30,,0,0.0
1076,Mortgage System Analyst,Texans Credit Union,Campbell,Ladders,Contractor,0,0,6,"[732, 249600]",0,0,30,,732,249600.0
1077,"Business Analyst, Medical Affairs",Katalyst Healthcares & Life Sciences,Belmont,ZipRecruiter,Full-time,0,0,0,"[0, 0]",0,0,9,,0,0.0
1078,Reporting Analyst Marketing dept: 24-02369,Akraya Inc.,Palo Alto,Akraya,Contractor,0,0,3,"[67200, 76800]",0,0,13,,67200,76800.0
1079,Salesforce Business Analyst - Office of the Assessor-Recorder (1052) - (143735),City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",0,0,30,,0,0.0
1080,"Business Analyst, SharePoint",Bayside Solutions,Anywhere • via LinkedIn,LinkedIn,Full-time,0,0,5,"[124800, 145600]",0,0,19,,124800,145600.0
1081,Sr. IT Business Analyst,Compvue,San Francisco,Indeed,Full-time,0,0,5,"[0, 0]",0,0,30,,0,0.0
1082,Business Analyst (IT) IV,ACL Digital,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,0,0,0,"[0, 0]",0,0,30,,0,0.0
1083,Business Analyst,Face Reality,Danville,LinkedIn,Full-time,1,0,5,"[172800, 211200]",0,0,12,,172800,211200.0
1084,Business Analyst,The University of San Francisco,San Francisco,ZipRecruiter,Contractor,0,0,5,"[172800, 211200]",0,0,30,,172800,211200.0
1085,SAWS IS Business Analyst-Principal – Information Technology - San Francisco Human Services Agency (1054) (127667),City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",0,0,30,,0,0.0
1086,Business Integration Analyst (Financial Analyst),EdgeGlobal LLC,Sunnyvale,LinkedIn,Full-time,0,0,0,"[0, 0]",1,1,30,,0,0.0
1087,Business Analyst II (Full Time) United States,Cisco Systems Inc,San Jose,ZipRecruiter,Full-time,1,1,3,"[0, 0]",1,1,30,,0,0.0
1088,Business Systems Analyst III SAP Procurement (SAP MM),Syntricate Technologies,Sunnyvale,LinkedIn,Contractor,0,0,8,"[0, 0]",1,1,30,,0,0.0
1089,Senior IT Business Analyst,Partnership HealthPlan of California,Suisun City,Adzuna,Full-time,0,0,1,"[118518, 154074]",0,1,30,,118518,154074.0
1090,Dynamics CRM - Business Analyst (Full Time),TecTammina,Santa Clara,ZipRecruiter,Full-time,0,0,0,"[0, 0]",0,0,9,,0,0.0
1091,Senior Product Analyst - Product Management - Office of the Treasurer & Tax Collector (1053),City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",0,0,30,,0,0.0
1092,SAP Business Analyst,Diverse Lynx,San Jose,LinkedIn,Contractor,0,0,0,"[0, 0]",0,0,30,,0,0.0
1093,"Junior OCM Specialist / Business Analyst at SolutionIT Foster, CA",SolutionIT,Foster City,Haz Tu Party · Arroyomolinos Y Alcorcon,Contractor,0,0,0,"[0, 0]",0,0,18,,0,0.0
1094,Business Analyst (Mitigation),Federal Emergency Management Agency,Oakland,ZipRecruiter,Full-time,0,0,0,"[44160, 151680]",0,0,6,,44160,151680.0
1095,Power BI Business Analyst,Candidate Portal,Santa Clara,ZipRecruiter,Contractor,0,0,0,"[0, 0]",0,0,30,,0,0.0
1096,Business Analyst (Data Governance),Enexus Global Inc.,San Francisco,LinkedIn,Full-time,0,0,0,"[0, 0]",0,0,25,,0,0.0
1097,Salesforce Business Analyst,Net2Source Inc.,Pleasanton,ZipRecruiter,Contractor,0,0,1,"[0, 0]",0,0,11,,0,0.0
1098,"Senior Business Analyst ***$4,000 Signing Bonus",Regional Transportation District,San Rafael,Ladders,Full-time,0,0,0,"[5760, 247680]",0,0,30,,5760,247680.0
1099,Salesforce Business Analyst,Net2Source Inc.,Pleasanton,LinkedIn,Full-time,0,0,1,"[0, 0]",0,0,12,,0,0.0
1100,IT Business Analyst – SF Municipal Transportation Agency – (1053) – (142988),City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",1,0,30,,0,0.0
1101,Salesforce Business Analyst,TEKsystems,Alameda,ZipRecruiter,Full-time,1,1,5,"[134400, 163200]",1,0,2,,134400,163200.0
1102,"RE: Business Analyst II - Alameda, CA",TekOne IT Services Pvt. Ltd.,Alameda,LinkedIn,Full-time,0,0,5,"[0, 0]",1,0,30,,0,0.0
1103,Managing Consultant - Life Sciences - Business Analyst,US101 Guidehouse Inc.,San Francisco,ZipRecruiter,Full-time,1,1,5,"[109100, 163700]",1,0,5,,109100,163700.0
1104,Technical Product/Business Analyst,Zortech Solutions,San Jose,LinkedIn,Full-time,0,0,0,"[0, 0]",1,0,30,,0,0.0
1105,CCAR Business Analyst,"E*Pro, Inc.",Santa Clara,ZipRecruiter,Full-time,0,0,0,"[0, 0]",1,1,12,,0,0.0
1106,Business Continuity and Disaster Recovery Analyst,Informatica,Redwood City,LinkedIn,Full-time,1,1,5,"[0, 0]",1,1,22,,0,0.0
1107,Sr. Veeva CRM Business Analyst,360 IT Professionals,South San Francisco,ZipRecruiter,Full-time,1,0,5,"[0, 0]",1,1,1,,0,0.0
1108,IT- Business Analyst - Senior,"Sunrise Systems, Inc.",Oakland,LinkedIn,Full-time,0,0,5,"[111360, 124800]",0,0,30,,111360,124800.0
1109,Business Analyst,Keylent,South San Francisco,ZipRecruiter,Full-time,0,0,8,"[0, 0]",0,0,30,,0,0.0
1110,"Business Analyst, PV Global Ops",myGwork - LGBTQ+ Business Community,San Jose,LinkedIn,Full-time,0,0,5,"[0, 0]",0,0,22,,0,0.0
1111,EDI Business Analyst,"Netpace, Inc.",San Ramon,ZipRecruiter,Full-time,0,0,8,"[0, 0]",1,0,30,,0,0.0
1112,"Guidewire Business Analyst Lead, Manager",PwC,San Francisco,LinkedIn,Full-time,1,1,5,"[100000, 232000]",1,0,24,,100000,232000.0
1113,Business Systems Analyst 3,V R Della Infotech Inc,Sunnyvale,ZipRecruiter,Contractor,0,0,1,"[0, 0]",1,0,5,,0,0.0
1114,Business Analyst,Triunity Software,Alameda,ZipRecruiter,Full-time,0,0,3,"[65000, 80000]",0,0,30,,65000,80000.0
1115,Senior Business Systems Analyst,TekOne IT Services Pvt. Ltd.,Alameda,LinkedIn,Full-time,0,0,7,"[0, 0]",1,1,30,,0,0.0
1116,Business Operations Analyst / Manager,Veza,San Francisco,LinkedIn,Full-time,1,1,4,"[0, 0]",1,1,9,,0,0.0
1117,BI Business Analyst,Jobsbridge,San Jose,ZipRecruiter,Full-time,0,0,7,"[0, 0]",1,1,7,,0,0.0
1118,Business Support Analyst,ClifyX,San Francisco,LinkedIn,Full-time,0,0,2,"[42240, 69120]",0,0,30,,42240,69120.0
1119,Data/Business Analyst,InterSources,San Francisco,ZipRecruiter,Contractor,0,0,0,"[0, 0]",0,0,30,,0,0.0
1120,CREDIT ANALYST - Power Enterprise - SFPUC (1824) (139593) (HYBRID),City and County of San Francisco,San Francisco,SF Careers,Full-time,0,0,0,"[0, 0]",0,0,30,,0,0.0
1121,Business Analyst,"Redolent, Inc",San Bruno,ZipRecruiter,Full-time,0,0,3,"[0, 0]",1,1,8,,0,0.0
1122,Info Security -- Business Continuity and Disaster Recovery Analyst,Informatica,Redwood City,LinkedIn,Full-time,1,1,3,"[0, 0]",1,1,22,,0,0.0
1123,Business Analyst with serialization experience - Top priority role,Resource Informatics Group Inc,Foster City,ZipRecruiter,Full-time,0,0,0,"[0, 0]",1,1,30,,0,0.0
1124,Business Analyst (W2),Ask IT consulting,San Francisco,ZipRecruiter,Full-time and Part-time,0,0,6,"[63360, 63360]",1,0,24,,63360,63360.0
1125,"Business Analyst, Life Sciences, Managing Consultant",US101 Guidehouse Inc.,San Francisco,ZipRecruiter,Full-time,1,1,5,"[109100, 163700]",1,0,30,,109100,163700.0
1126,"IT Business Analyst (Hybrid, Modesto, CA)",Braintrust,Riverbank,LinkedIn,Full-time,0,0,5,"[0, 0]",1,0,2,,0,0.0
1127,IT Business Analyst - Operations,BayOne,San Jose,ZipRecruiter,Full-time,0,0,2,"[0, 0]",0,0,30,,0,0.0
1128,Business Analyst,Jobsbridge,San Francisco,ZipRecruiter,Contractor,0,0,5,"[0, 0]",1,1,7,,0,0.0
1129,"Senior Manager, Business Analysis and Insights - Operational Metrics Walmart Connect",Walmart,Daly City,ZipRecruiter,Full-time,1,1,6,"[80000, 202000]",1,1,5,,80000,202000.0
1130,"IT Business Analyst (Hybrid, Modesto, CA)",Braintrust,Hughson,LinkedIn,Full-time,0,0,5,"[0, 0]",1,1,2,,0,0.0
1131,Data Engineer - AI/ML,Stanford Health Care,Palo Alto,Talentify,Full-time,0,0,2,"[172800, 193920]",0,1,4,,172800,193920.0
1132,HealthTech Data Pipeline Engineer,Carex Consulting Group,Palo Alto,Carex Consulting Group,Full-time,0,0,4,"[0, 0]",0,1,12,,0,0.0
1133,Data Engineer,Abbott Laboratories,Alameda,Abbott Jobs,Full-time,1,0,4,"[95500, 190900]",0,0,1,,95500,190900.0
1134,"Senior Data Engineer, Amazon Health Science & Analytics",Amazon,San Francisco,Taro,Full-time,0,0,0,"[139000, 240000]",0,0,16,,139000,240000.0
1135,Principal Biotech Data Engineer,Bayer,Berkeley,AgHires,Full-time,1,1,0,"[0, 0]",0,0,23,,0,0.0
1136,Staff and Senior Health Data Engineer,Nuna,San Francisco,Built With Django,Full-time,0,0,0,"[0, 0]",1,1,30,,0,0.0
1137,Product Engineer - Data Production Team,PicnicHealth,Anywhere • via LinkedIn,LinkedIn,Full-time,1,1,5,"[307200, 307200]",1,1,20,,0,307200.0
1138,Data Engineer / Healthcare Industry,Motion Recruitment,Anywhere • via Motion Recruitment,Motion Recruitment,Contractor,0,0,0,"[96000, 115200]",1,1,30,,96000,115200.0
1139,Senior Data Engineer,"Performant Recovery, Inc.",Pleasanton,Workday,Full-time,1,1,0,"[0, 0]",0,0,10,,0,0.0
1140,Observability Data Infrastructure Engineer,CVS Health,Sacramento,CVS Health Jobs,Full-time,1,1,7,"[124372, 247200]",1,1,2,,124372,247200.0
1141,Senior Data Platform Engineer- Periop,Qventus,Mountain View,Adzuna,Full-time,0,0,5,"[150000, 180000]",1,1,22,,150000,180000.0
1142,Director data engineering,Helix,San Mateo,Talent.com,Full-time,1,0,5,"[178000, 283000]",1,1,3,,178000,283000.0
1143,Health Data Analyst Engineer,Nuna Inc.,San Francisco,Karkidi,Full-time,0,0,0,"[120000, 190000]",1,1,30,,120000,190000.0
1144,Staff backend engineer,Citizen Health,San Mateo,Talent.com,Full-time,1,1,7,"[200000, 235000]",0,1,1,,200000,235000.0
1145,Senior Data Scientist / LLM Engineer,Qventus,Mountain View,ZipRecruiter,Full-time,0,0,3,"[150000, 180000]",0,1,30,,150000,180000.0
1146,Senior Data Analyst (multiple openings),Innovaccer Inc.,San Francisco,Jobs - Towards AI,Full-time,0,0,0,"[0, 0]",0,1,28,,0,0.0
1147,Senior Data Engineer,Verantos,Fremont,Vancouver Tech & Startups,Full-time,1,1,5,"[0, 0]",1,0,17,,0,0.0
1148,Healthcare Data Analyst (Onsite),"LAKESIDE MEDICAL ORG, A MEDICAL GROUP, INC.",California • via Glassdoor,Glassdoor,Full-time,1,1,0,"[48000, 51840]",1,0,3,,48000,51840.0
1149,Sales Engineer Lead (MedInsight),Milliman,Walnut Creek,ZipRecruiter,Full-time,1,1,5,"[85000, 173000]",1,0,4,,85000,173000.0
1150,"Senior Sales Engineer, Healthcare",Snowflake,California • via Snowflake Careers,Snowflake Careers,Full-time,0,0,8,"[0, 0]",1,0,2,,0,0.0
1151,DATA ENGINEER III - DATA VENTURES,Walmart,Union City,Prime Job Seekers,Full-time and Part-time,1,1,4,"[0, 0]",1,1,6,,0,0.0
1152,"Principal Software Architect, App Store Analytics & Data Engineering",Apple,Cupertino,Careers At Apple,Full-time,1,1,0,"[207800, 378700]",1,1,30,,207800,378700.0
1153,"Staff, Software Engineer - Data",Walmart,Sunnyvale,Walmart Careers,Full-time and Part-time,1,1,6,"[143000, 286000]",1,1,30,,143000,286000.0
1154,"Senior, Data Scientist - Machine Learning Engineer",Walmart,Sunnyvale,Walmart Careers,Full-time and Part-time,1,1,5,"[117000, 234000]",1,1,30,,117000,234000.0
1155,Software engineer data,Apple,Cupertino,Talent.com,Full-time,0,0,5,"[0, 0]",1,1,12,,0,0.0
1156,"(USA) Senior, Software Engineer",Walmart,Fremont,ZipRecruiter,Full-time and Part-time,1,1,5,"[117000, 234000]",1,1,14,,117000,234000.0
1157,"Senior, Software Engineer, UI - Data Ventures",Walmart,Sunnyvale,Walmart Careers,Full-time and Part-time,1,1,5,"[117000, 234000]",1,1,30,,117000,234000.0
1158,"SENIOR, SOFTWARE ENGINEER, UI - DATA VENTURES",Walmart,Belmont,Prime Job Seekers,Full-time and Part-time,1,1,5,"[0, 0]",1,1,6,,0,0.0
1159,"Group Director, Software Engineering - Transactional Systems Revenue and Data Intelligence",Walmart,Mountain View,ZipRecruiter,Full-time and Part-time,1,1,8,"[254000, 481000]",1,1,3,,254000,0.0
